epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1304.86,1.29429,1.19194,1.23999,0.46957,0.93948,0.5569,0.3377,1.24745,1.07427,1.2974,0.0036347,0.0036347,0.0036347
43,1331.12,1.27503,1.18124,1.23709,0.47144,0.93408,0.56221,0.3558,1.2152,1.06407,1.28383,0.0036014,0.0036014,0.0036014
44,1360.45,1.27622,1.19412,1.23164,0.50109,0.89968,0.67462,0.39961,1.37471,1.06212,1.29602,0.0035681,0.0035681,0.0035681
45,1391.58,1.2653,1.1571,1.23125,0.49983,0.90193,0.6418,0.38871,1.34966,1.04139,1.28316,0.0035348,0.0035348,0.0035348
46,1423.94,1.26257,1.1627,1.22528,0.53358,0.88167,0.68458,0.40951,1.34769,1.01543,1.303,0.0035015,0.0035015,0.0035015
47,1459.6,1.24483,1.13229,1.21991,0.50347,0.8974,0.64122,0.4104,1.23646,1.02845,1.26571,0.0034682,0.0034682,0.0034682
48,1491.89,1.26198,1.14577,1.22975,0.50207,0.90788,0.61168,0.37911,1.27171,1.06108,1.294,0.0034349,0.0034349,0.0034349
49,1522.58,1.27174,1.17258,1.23309,0.47534,0.92925,0.57498,0.34049,1.37296,1.10405,1.29764,0.0034016,0.0034016,0.0034016
50,1551.09,1.27455,1.14191,1.233,0.4895,0.9161,0.59414,0.38225,1.22381,1.05206,1.28346,0.0033683,0.0033683,0.0033683
51,1582.07,1.30598,1.17507,1.25996,0.48281,0.91714,0.56292,0.33179,1.3419,1.07484,1.29599,0.003335,0.003335,0.003335
52,1612.64,1.24781,1.13553,1.21032,0.46378,0.93914,0.51738,0.29776,1.36794,1.12805,1.30328,0.0033017,0.0033017,0.0033017
53,1641.07,1.23341,1.13481,1.21166,0.47103,0.92961,0.53208,0.32544,1.27199,1.10006,1.27627,0.0032684,0.0032684,0.0032684
54,1672.1,1.24565,1.14316,1.20021,0.50873,0.903,0.59803,0.35495,1.32947,1.06271,1.29576,0.0032351,0.0032351,0.0032351
55,1698.51,1.23919,1.12528,1.19859,0.48312,0.91786,0.5661,0.35995,1.18623,1.04842,1.23731,0.0032018,0.0032018,0.0032018
56,1726.06,1.2448,1.13232,1.2227,0.51457,0.8951,0.62677,0.38293,1.28846,1.01739,1.30174,0.0031685,0.0031685,0.0031685
57,1753.32,1.23504,1.1119,1.20702,0.50297,0.91265,0.65116,0.41314,1.25534,1.00281,1.25983,0.0031352,0.0031352,0.0031352
